"Year","Season","Week","Date","Field","TeamOne","TeamTwo","TeamOneScore","TeamTwoScore"
"2013","Summer",6,2013-07-21 18:00:00,"Greenlake Field 2","Twin Diesels","Randy's Johnson","22","7"
"2013","Summer",7,2013-07-28 13:30:00,"Greenlake Field 1","Find The Holes","Afternoon Delight","8","18"
"2013","Summer",7,2013-07-28 15:00:00,"Greenlake Field 1","First World Problems","Karate Explosion","14","5"
"2013","Summer",7,2013-07-28 16:30:00,"Greenlake Field 1","Gomicroamadub","#Blessed","7","25"
"2013","Summer",7,2013-07-28 18:00:00,"Greenlake Field 1","Fowl Balls","Your Mom Plays Softball","16","25"
"2013","Summer",7,2013-07-28 12:00:00,"Greenlake Field 2","Stranger Danger","Booze On First","2","15"
"2013","Summer",7,2013-07-28 13:30:00,"Greenlake Field 2","Booze On First","Here For The Beer","3","7"
"2013","Summer",7,2013-07-28 15:00:00,"Greenlake Field 2","Randy's Johnson","Off In The Corner","5","10"
"2013","Summer",7,2013-07-28 16:30:00,"Greenlake Field 2","Sluggernauts","Canlis","11","15"
"2013","Summer",8,2013-08-04 12:00:00,"Greenlake Field 1","Off In The Corner","Here For The Beer","6","22"
"2013","Summer",8,2013-08-04 13:30:00,"Greenlake Field 1","Canlis","Here For The Beer","4","18"
"2013","Summer",8,2013-08-04 15:00:00,"Greenlake Field 1","Seattle Shaggy Muskrats","Your Mom Plays Softball","6","18"
"2013","Summer",8,2013-08-04 16:30:00,"Greenlake Field 1","First World Problems","Afternoon Delight","8","12"
"2013","Summer",8,2013-08-04 18:00:00,"Greenlake Field 1","Afternoon Delight","Your Mom Plays Softball","9","17"
"2013","Summer",8,2013-08-04 12:00:00,"Greenlake Field 2","Canlis","#Blessed","15","11"
"2014","Fall",1,2014-08-17 12:00:00,"Lower Woodland PF Field 3","Adversity Overcomers","Chico's Bail Bonds","18","11"
"2014","Fall",1,2014-08-17 13:30:00,"Lower Woodland PF Field 3","Adversity Overcomers","They Might Be Giants","16","10"
"2014","Fall",1,2014-08-17 15:00:00,"Lower Woodland PF Field 3","I Like Big Bunts","Stranger Danger","19","3"
"2014","Fall",1,2014-08-17 16:30:00,"Lower Woodland PF Field 3","Rich And Jay's Love Children","Belltown Pub","19","13"
"2014","Fall",1,2014-08-17 18:00:00,"Lower Woodland PF Field 3","Arbornauts","Belltown Pub","14","11"
"2014","Fall",1,2014-08-17 12:00:00,"Lower Woodland PF Field 6","They Might Be Giants","Too Drunk To Score","10","24"
"2014","Fall",1,2014-08-17 13:30:00,"Lower Woodland PF Field 6","Too Drunk To Score","Chico's Bail Bonds","12","13"
"2014","Fall",1,2014-08-17 15:00:00,"Lower Woodland PF Field 6","That's What She Said!!","The Crows","17","6"
"2014","Fall",1,2014-08-17 16:30:00,"Lower Woodland PF Field 6","I Like Big Bunts","The Crows","9","11"
"2014","Fall",1,2014-08-17 18:00:00,"Lower Woodland PF Field 6","Find The Holes","#Blessed","15","6"
"2014","Fall",2,2014-08-24 12:00:00,"Lower Woodland PF Field 3","Arbornauts","They Might Be Giants","12","25"
"2014","Fall",2,2014-08-24 13:30:00,"Lower Woodland PF Field 3","Arbornauts","Too Drunk To Score","10","10"
"2014","Fall",2,2014-08-24 15:00:00,"Lower Woodland PF Field 3","#Blessed","I Like Big Bunts","17","18"
"2014","Fall",2,2014-08-24 16:30:00,"Lower Woodland PF Field 3","#Blessed","Stranger Danger","19","11"
"2014","Fall",2,2014-08-24 18:00:00,"Lower Woodland PF Field 3","Stranger Danger","The Crows","4","24"
"2014","Fall",2,2014-08-24 12:00:00,"Lower Woodland PF Field 6","Find The Holes","Adversity Overcomers","8","14"
